Benchmark,no_prefetch_CPU0,no_prefetch_CPU1,no_prefetch_CPU2,no_prefetch_CPU3,no_prefetch_GeoMean,ip_noguard_CPU0,ip_noguard_CPU1,ip_noguard_CPU2,ip_noguard_CPU3,ip_noguard_GeoMean,ip_guard_CPU0,ip_guard_CPU1,ip_guard_CPU2,ip_guard_CPU3,ip_guard_GeoMean
602.gcc_s-734B_605.mcf_s-472_605.mcf_s-484B_623.xalancbmk_s-10B,0.453162,0.42039,0.272449,0.369577,0.3722,0.46775,0.43579,0.280967,0.363181,0.3798,0.467518,0.435832,0.28098,0.363612,0.3798
602.gcc_s-734B_605.mcf_s-472_605.mcf_s-484B_623.xalancbmk_s-325B,0.484366,0.430585,0.28047,0.384356,0.3872,0.530675,0.445308,0.288541,0.384069,0.4023,0.529838,0.445437,0.288557,0.38397,0.4021
602.gcc_s-734B_605.mcf_s-472_605.mcf_s-484B_625.x264_s-18B,0.493845,0.433947,0.282414,0.69916,0.4535,0.512816,0.448104,0.290248,0.699763,0.4648,0.512243,0.448114,0.290215,0.69979,0.4647
602.gcc_s-734B_605.mcf_s-472_605.mcf_s-484B_654.roms_s_294B,0.411231,0.403439,0.261954,0.518465,0.3874,0.453736,0.413138,0.265528,0.602495,0.4161,0.45132,0.413204,0.265586,0.603095,0.4157
602.gcc_s-734B_605.mcf_s-472_605.mcf_s-484B_657.xz_s-56B,0.49405,0.43476,0.282852,0.796872,0.4691,0.520806,0.449689,0.291035,0.801289,0.4834,0.520401,0.449649,0.291076,0.801299,0.4833
602.gcc_s-734B_605.mcf_s-472_623.xalancbmk_s-10B_623.xalancbmk_s-325B,0.471724,0.426291,0.436362,0.382898,0.4281,0.479104,0.441467,0.433029,0.383213,0.4328,0.47894,0.441688,0.433126,0.383656,0.433
602.gcc_s-734B_605.mcf_s-472_623.xalancbmk_s-10B_625.x264_s-18B,0.484525,0.430435,0.449538,0.698693,0.5059,0.487042,0.445075,0.448764,0.699781,0.5108,0.487309,0.445106,0.448804,0.699792,0.5109
602.gcc_s-734B_605.mcf_s-472_623.xalancbmk_s-10B_654.roms_s_294B,0.393546,0.396003,0.21771,0.481434,0.3575,0.429317,0.407757,0.208967,0.579636,0.3816,0.427277,0.407795,0.208972,0.57941,0.3811
602.gcc_s-734B_605.mcf_s-472_623.xalancbmk_s-10B_657.xz_s-56B,0.484696,0.430816,0.447445,0.796794,0.5224,0.488834,0.446293,0.447381,0.797823,0.5283,0.489142,0.446272,0.447556,0.797828,0.5284
602.gcc_s-734B_605.mcf_s-472_623.xalancbmk_s-325B_625.x264_s-18B,0.496265,0.438125,0.384113,0.69719,0.4912,0.510529,0.452806,0.384058,0.698142,0.499,0.510143,0.452895,0.383736,0.698195,0.4988
602.gcc_s-734B_605.mcf_s-472_623.xalancbmk_s-325B_654.roms_s_294B,0.41837,0.409684,0.382267,0.501225,0.4257,0.456595,0.420486,0.381879,0.622953,0.4623,0.455336,0.420363,0.381817,0.623296,0.462
602.gcc_s-734B_605.mcf_s-472_623.xalancbmk_s-325B_657.xz_s-56B,0.496203,0.43875,0.383944,0.797069,0.5081,0.517378,0.454254,0.384124,0.800195,0.5184,0.51705,0.454365,0.384112,0.800253,0.5184
602.gcc_s-734B_605.mcf_s-472_625.x264_s-18B_654.roms_s_294B,0.421725,0.411565,0.694782,0.504562,0.4967,0.435761,0.424441,0.695901,0.608992,0.5291,0.434841,0.424543,0.695941,0.608785,0.5288
602.gcc_s-734B_605.mcf_s-472_625.x264_s-18B_657.xz_s-56B,0.507213,0.442841,0.699528,0.797343,0.5949,0.515907,0.457466,0.700887,0.798734,0.6029,0.515541,0.45743,0.700842,0.798703,0.6028
602.gcc_s-734B_605.mcf_s-472_657.xz_s-56B_654.roms_s_294B,0.422312,0.41182,0.792714,0.5056,0.5138,0.436934,0.42618,0.800466,0.621304,0.5517,0.435764,0.426161,0.80052,0.621398,0.5513
602.gcc_s-734B_605.mcf_s-484B_623.xalancbmk_s-10B_623.xalancbmk_s-325B,0.472755,0.276633,0.447535,0.384429,0.3873,0.481518,0.285078,0.44384,0.38397,0.3911,0.481262,0.285049,0.443771,0.383832,0.391
602.gcc_s-734B_605.mcf_s-484B_623.xalancbmk_s-10B_625.x264_s-18B,0.48179,0.278192,0.450076,0.699207,0.4532,0.487469,0.286812,0.452764,0.699691,0.4588,0.486823,0.286917,0.452052,0.699702,0.4585
602.gcc_s-734B_605.mcf_s-484B_623.xalancbmk_s-10B_654.roms_s_294B,0.394423,0.25606,0.220433,0.485202,0.3224,0.438969,0.260379,0.210481,0.58331,0.3442,0.436557,0.260524,0.210588,0.583605,0.3438
602.gcc_s-734B_605.mcf_s-484B_623.xalancbmk_s-10B_657.xz_s-56B,0.484526,0.278621,0.460468,0.796768,0.4718,0.490017,0.287581,0.459382,0.797831,0.4767,0.489518,0.287587,0.458346,0.797838,0.4763
602.gcc_s-734B_605.mcf_s-484B_623.xalancbmk_s-325B_625.x264_s-18B,0.493242,0.284735,0.384267,0.699619,0.4408,0.510623,0.293533,0.384997,0.700103,0.4483,0.510625,0.293525,0.384507,0.700083,0.4482
602.gcc_s-734B_605.mcf_s-484B_623.xalancbmk_s-325B_654.roms_s_294B,0.416732,0.264499,0.383292,0.527078,0.3863,0.458257,0.270121,0.382496,0.608303,0.412,0.456425,0.270302,0.382499,0.608893,0.4117
602.gcc_s-734B_605.mcf_s-484B_623.xalancbmk_s-325B_657.xz_s-56B,0.49295,0.28513,0.384679,0.797015,0.4556,0.519083,0.294488,0.385194,0.800703,0.466,0.518253,0.294517,0.385197,0.800659,0.4658
602.gcc_s-734B_605.mcf_s-484B_625.x264_s-18B_654.roms_s_294B,0.419915,0.265705,0.696227,0.532937,0.4511,0.432311,0.271993,0.696181,0.603124,0.4714,0.431734,0.271941,0.696351,0.603309,0.4713
602.gcc_s-734B_605.mcf_s-484B_625.x264_s-18B_657.xz_s-56B,0.50355,0.286754,0.699357,0.797191,0.5327,0.514312,0.295693,0.699833,0.798874,0.54,0.513897,0.295749,0.699835,0.798848,0.5399
602.gcc_s-734B_605.mcf_s-484B_657.xz_s-56B_654.roms_s_294B,0.420582,0.26606,0.792821,0.533862,0.4665,0.433957,0.273687,0.800843,0.611188,0.491,0.433468,0.273642,0.800904,0.610938,0.4908
602.gcc_s-734B_623.xalancbmk_s-10B_623.xalancbmk_s-325B_625.x264_s-18B,0.496454,0.494959,0.384161,0.697396,0.5065,0.499128,0.495196,0.384087,0.698074,0.5074,0.498758,0.494716,0.384177,0.698098,0.5072
602.gcc_s-734B_623.xalancbmk_s-10B_623.xalancbmk_s-325B_654.roms_s_294B,0.400559,0.241778,0.381517,0.498476,0.3684,0.44868,0.228001,0.378829,0.58226,0.3876,0.44664,0.228285,0.379094,0.58323,0.3875
602.gcc_s-734B_623.xalancbmk_s-10B_623.xalancbmk_s-325B_657.xz_s-56B,0.496113,0.495027,0.384014,0.797185,0.5236,0.500725,0.493698,0.384334,0.797933,0.5247,0.500829,0.494482,0.384242,0.797943,0.5249
602.gcc_s-734B_623.xalancbmk_s-10B_625.x264_s-18B_654.roms_s_294B,0.404907,0.251454,0.694943,0.504421,0.4346,0.416861,0.241756,0.695683,0.574351,0.448,0.416602,0.240954,0.695733,0.574649,0.4476
602.gcc_s-734B_623.xalancbmk_s-10B_625.x264_s-18B_657.xz_s-56B,0.511684,0.498428,0.701191,0.797497,0.6145,0.513466,0.498001,0.701672,0.797832,0.6151,0.513286,0.49796,0.701633,0.797859,0.615
602.gcc_s-734B_623.xalancbmk_s-10B_657.xz_s-56B_654.roms_s_294B,0.405831,0.25509,0.790983,0.505387,0.451,0.420283,0.244625,0.799127,0.582581,0.4677,0.419553,0.244484,0.799164,0.582695,0.4675
602.gcc_s-734B_623.xalancbmk_s-325B_625.x264_s-18B_654.roms_s_294B,0.426403,0.382529,0.694413,0.511545,0.4906,0.447101,0.381958,0.694941,0.624407,0.5217,0.44627,0.381927,0.695356,0.624597,0.5216
602.gcc_s-734B_623.xalancbmk_s-325B_625.x264_s-18B_657.xz_s-56B,0.501011,0.384535,0.697606,0.797337,0.5721,0.514766,0.384909,0.698504,0.798912,0.5766,0.514471,0.384638,0.698509,0.798951,0.5765
602.gcc_s-734B_623.xalancbmk_s-325B_657.xz_s-56B_654.roms_s_294B,0.426566,0.382716,0.794136,0.512118,0.5076,0.455679,0.382103,0.800165,0.634893,0.5454,0.454181,0.382481,0.800125,0.635069,0.5451
602.gcc_s-734B_625.x264_s-18B_657.xz_s-56B_654.roms_s_294B,0.42914,0.696299,0.794393,0.511237,0.5902,0.440095,0.697551,0.797676,0.618799,0.6239,0.439626,0.697375,0.797625,0.618761,0.6237
605.mcf_s-472_605.mcf_s-484B_623.xalancbmk_s-10B_623.xalancbmk_s-325B,0.425593,0.276493,0.421057,0.384248,0.3715,0.440146,0.28445,0.414404,0.383815,0.3757,0.440175,0.284309,0.413464,0.383838,0.3754
605.mcf_s-472_605.mcf_s-484B_623.xalancbmk_s-10B_625.x264_s-18B,0.429283,0.278743,0.431356,0.69964,0.4359,0.442944,0.286637,0.430373,0.699924,0.4422,0.442839,0.286636,0.429983,0.699989,0.4421
605.mcf_s-472_605.mcf_s-484B_623.xalancbmk_s-10B_654.roms_s_294B,0.395049,0.254213,0.215343,0.478985,0.319,0.4027,0.254577,0.204102,0.623425,0.338,0.40302,0.25439,0.20399,0.624088,0.338
605.mcf_s-472_605.mcf_s-484B_623.xalancbmk_s-10B_657.xz_s-56B,0.429925,0.279091,0.434001,0.797209,0.4514,0.44437,0.287222,0.430726,0.799377,0.4579,0.444434,0.28717,0.431027,0.799409,0.4579
605.mcf_s-472_605.mcf_s-484B_623.xalancbmk_s-325B_625.x264_s-18B,0.441665,0.288135,0.385075,0.699857,0.4303,0.455063,0.295677,0.385175,0.700383,0.4365,0.455239,0.29566,0.385214,0.700379,0.4365
605.mcf_s-472_605.mcf_s-484B_623.xalancbmk_s-325B_654.roms_s_294B,0.405106,0.263556,0.383082,0.532413,0.3841,0.41303,0.267258,0.382033,0.641312,0.4055,0.41295,0.267377,0.382186,0.641114,0.4056
605.mcf_s-472_605.mcf_s-484B_623.xalancbmk_s-325B_657.xz_s-56B,0.441978,0.288424,0.384903,0.798201,0.4449,0.456755,0.29669,0.385393,0.802598,0.4525,0.456736,0.296694,0.385313,0.802593,0.4525
605.mcf_s-472_605.mcf_s-484B_625.x264_s-18B_654.roms_s_294B,0.40743,0.265111,0.695667,0.540356,0.4489,0.418037,0.270488,0.696638,0.62075,0.4702,0.418273,0.270556,0.696942,0.620948,0.4704
605.mcf_s-472_605.mcf_s-484B_625.x264_s-18B_657.xz_s-56B,0.4461,0.291251,0.699922,0.799299,0.5192,0.459138,0.298585,0.701046,0.801579,0.5268,0.459147,0.298613,0.701085,0.801636,0.5269
